,userid,friendid
0,91,6394
1,91,8438
2,91,10224
3,91,722
4,91,13311
5,91,13644
6,91,10972
7,91,12537
8,91,12855
9,91,2404
10,91,14724
11,91,2370
12,91,4447
13,91,6186
14,91,1239
15,91,11247
16,91,11152
17,91,12312
18,147,951
19,223,11046
20,223,12281
21,223,4761
22,223,17127
23,223,16460
24,223,3797
25,244,4744
26,278,3062
27,278,9317
28,278,7403
29,278,17078
30,285,8292
31,285,13116
32,285,3
33,285,8353
34,285,12289
35,285,10536
36,285,1900
37,285,11339
38,285,16109
39,314,2343
40,49,9485
41,335,10259
42,335,3766
43,435,16107
44,435,7376
45,435,732
46,435,16055
47,435,4588
48,11647,12971
49,11647,11176
50,11647,6203
51,3682,733
52,3682,4974
53,3682,13086
54,3682,16441
55,3682,8023
56,3682,13732
57,3682,15879
58,3682,4223
59,3682,10996
60,3682,10252
61,3682,2499
62,3682,1210
63,3682,9128
64,3682,15532
65,3682,5247
66,3682,7204
67,3682,8950
68,3682,4922
69,3682,15497
70,3682,11976
71,3682,409
72,3682,9764
73,3682,14015
74,3682,6317
75,3682,8500
76,808,13994
77,808,5492
78,808,9718
79,808,8114
80,932,7666
81,932,1582
82,1050,12985
83,194,11728
84,194,17086
85,194,9951
86,1246,1136
87,1246,5816
88,1246,14467
89,1246,2009
90,1246,6950
91,1246,2063
92,1246,1900
93,1246,7202
94,1246,8385
95,1246,10690
96,1246,15819
97,1246,15113
98,1246,12985
99,1246,4694
100,1246,8383
101,1246,3799
102,1246,15413
103,1246,10595
104,1246,8236
105,1246,7821
106,1246,8947
107,1246,14651
108,1246,538
109,1246,6383
110,1248,16483
111,1248,962
112,1248,6730
113,1269,6029
114,1355,11046
115,5993,11012
116,5993,667
117,1523,5948
118,1529,15368
119,1529,16395
120,1566,16214
121,1933,11554
122,11855,3581
123,2023,15533
124,2103,1232
125,2103,5478
126,2103,11240
127,2103,16474
128,2103,12104
129,6371,5795
130,6371,16518
131,6371,8474
132,6371,4833
133,6371,3980
134,6371,16648
135,6371,10869
136,6371,3855
137,6371,2619
138,2250,10821
139,2250,3199
140,2250,9410
141,2250,7292
142,2250,3584
143,2250,17180
144,2250,12080
145,2250,6214
146,2250,2772
147,2250,6246
148,2250,10498
149,2250,10643
150,2250,16493
151,2250,16385
152,2250,1482
153,3391,16717
154,3391,5808
155,3391,398
156,3391,5947
157,3391,10232
158,3391,5208
159,3391,2908
160,3391,11582
161,3391,2733
162,3391,16788
163,3391,11183
164,3391,11309
165,3391,8647
166,3391,4372
167,3391,11434
168,3391,3381
169,3391,7408
170,3391,6436
171,3391,8444
172,3391,11529
173,3391,11194
174,3391,13345
175,3391,13622
176,3391,9122
177,3391,15147
178,3391,1166
179,3391,10224
180,3391,12810
181,2254,9664
182,2254,5192
183,2275,1735
184,2275,10012
185,2319,8797
186,15627,2783
187,15627,6355
188,15627,9607
189,2531,13417
190,2585,9833
191,2585,7272
192,11627,8993
193,15831,9480
194,15831,7675
195,2679,9739
196,2679,8303
197,12836,2282
198,12836,10075
199,12836,16884
200,12836,10736
201,2816,17232
202,2873,7769
203,2873,14205
204,2873,1356
205,2876,8730
206,2876,637
207,2876,11207
208,2876,15577
209,2876,15944
210,2876,14325
211,2876,14167
212,2876,2619
213,2876,16093
214,2876,5460
215,2876,14822
216,2876,1615
217,2876,5725
218,2876,11804
219,2876,17166
220,2876,2701
221,2913,13753
222,2913,11631
223,2913,10910
224,2913,13103
225,2913,11351
226,9252,14741
227,3066,52
228,3096,11155
229,3096,8905
230,3096,6029
231,3096,13334
232,3096,3169
233,3096,14780
234,3096,12496
235,3096,11943
236,3096,5127
