,userid,itemid
0,1869,8165
1,1869,27590
2,1869,25813
3,1869,17435
4,1869,29414
5,1869,31715
6,1869,4072
7,1869,27685
8,1869,26883
9,1869,32324
10,13357,15090
11,13357,26533
12,13357,28047
13,13357,7275
14,13357,17661
15,13357,2404
16,3480,13957
17,3480,5461
18,13356,13039
19,13356,36580
20,13356,27502
21,13356,25354
22,13356,30903
23,13356,17237
24,13356,8860
25,13356,5198
26,6972,2969
27,6972,80
28,6972,4109
29,6972,4883
30,6972,9046
31,6972,13061
32,6972,3443
33,6972,5531
34,6972,14520
35,6972,1979
36,6972,24925
37,6972,12153
38,6972,17083
39,6972,33842
40,6972,14130
41,11542,17402
42,11542,24157
43,13359,15213
44,13359,8943
45,13359,28788
46,11540,38287
47,11540,222
48,11540,12006
49,11540,22352
50,11540,32684
51,11540,6860
52,11540,27388
53,16078,38286
54,16078,22605
55,16078,14720
56,16078,7204
57,16078,26664
58,11546,388
59,11547,37161
60,11547,29413
61,11547,33242
62,11547,20746
63,11547,34494
64,13446,4187
65,13446,33716
66,13446,5683
67,13446,14100
68,13446,22221
69,13446,32772
70,13446,13635
71,13446,4036
72,13446,6403
73,13446,2625
74,13446,18383
75,13446,35630
76,13446,8227
77,13446,28137
78,13446,28460
79,13358,5990
80,13358,23334
81,13358,1344
82,13358,17012
83,13358,1832
84,13358,6142
85,13358,32057
86,13358,16790
87,13358,10390
88,13358,12013
89,13358,34763
90,11548,21850
91,11548,8836
92,11548,36347
93,11548,36625
94,11548,29700
95,11548,21674
96,11548,31295
97,11548,25092
98,11548,19065
99,11548,27443
100,11548,6792
101,11548,30906
102,11548,15363
103,11549,25628
104,11549,21578
105,11549,985
106,11549,20579
107,11549,29681
108,1868,34945
109,1868,7944
110,1868,5730
111,1868,4263
112,1868,815
113,1868,3885
114,1868,25490
115,5988,3003
116,5988,16026
117,5988,23125
118,5988,17102
119,5988,14787
120,5988,28741
121,5988,19384
122,5988,20401
123,5988,13232
124,5989,15973
125,5989,14572
126,5989,31056
127,5989,853
128,5989,28782
129,5982,24409
130,5982,18427
131,5982,7489
132,5983,19160
133,5983,7348
134,5983,18671
135,5983,16243
136,5983,34600
137,5980,7290
138,5980,26005
139,5980,11993
140,5981,13738
141,5986,35879
142,5986,25608
143,5986,27274
144,5987,14572
145,5987,36620
146,5987,24739
147,5987,3569
148,5984,27810
149,5984,31669
150,5984,19083
151,5984,256
152,5984,27489
153,5985,22637
154,5985,23227
155,5985,28220
156,5985,14831
157,5985,25479
158,5985,20267
159,5985,8774
160,5985,11609
161,9485,18572
162,9485,2808
163,9485,18959
164,9485,37737
165,9485,15691
166,9485,8602
167,9485,4873
168,9485,10976
169,9485,9349
170,9485,31266
171,9485,5961
172,9485,7292
173,9485,26143
174,9485,32300
175,9485,7833
176,9485,30866
177,9485,34277
178,9485,1063
179,9485,3690
180,9485,34462
181,9485,10278
182,9485,2962
183,9485,6322
184,9485,33050
185,9485,38330
186,9485,25188
187,9485,26673
188,9485,20452
189,9485,32777
190,9485,6572
191,9485,9450
192,9485,15071
193,9485,30038
194,9485,15042
195,9485,21248
196,9485,32275
197,9485,10307
198,9485,15188
199,9485,7153
200,9485,18989
201,14544,7519
202,14544,34246
203,14544,36634
204,14544,11346
205,15267,16320
206,15267,5843
207,15267,36566
208,15267,19108
209,15267,29613
210,6343,26606
211,6343,26512
212,6343,14575
213,6343,35338
214,6343,37781
215,6343,12512
216,6343,19844
217,6343,10326
218,820,25687
219,820,15045
220,820,8857
221,820,8734
222,820,21196
223,820,27979
224,820,14927
225,820,37891
226,16502,2248
227,16502,8718
228,16502,8298
229,16502,3388
230,16502,28913
231,16502,15054
232,16502,21923
233,16502,25249
234,16502,24597
235,16502,26595
236,16502,32635
237,16502,22649
238,16502,14749
239,16502,36128
240,16502,7883
241,16502,11350
242,16502,10836
243,16502,11324
244,16502,13326
245,16502,35326
246,16502,11351
247,16502,27114
248,16502,8842
249,16502,25408
250,16502,27312
251,16502,35382
252,16502,30805
253,16502,4506
254,16502,11501
255,16502,31171
256,6796,33995
257,6796,29442
